File Name Prefix,Average Response Time,Request Type,Frequency,Size,Power
high_large_grpc,118.14539524204447,1,2.0,2.0,22.11
high_medium_grpc,108.16197913775105,1,2.0,1.0,22.79
high_small_grpc,107.79199274603744,1,2.0,0.0,22.759999999999998
low_large_grpc,133.780422724667,1,0.0,2.0,6.595000000000001
low_medium_grpc,118.95087501616217,1,0.0,1.0,6.622
low_small_grpc,122.874067791563,1,0.0,0.0,6.709999999999999
medium_large_grpc,122.72502656484721,1,1.0,2.0,10.709999999999999
medium_medium_grpc,114.61996149318293,1,1.0,1.0,9.766
medium_small_grpc,109.82180483423872,1,1.0,0.0,12.248000000000001
